Liquor / Cocktail / Liqueur,% Alc (ABV),Proof,Is Primary,Search Terms
Absinthe,68,136,FALSE,absinthe
Advocaat,17,34,FALSE,advocaat|egg liqueur
Aftershock,30,60,FALSE,aftershock
Aftershock Cinnamon Schnapps,40,80,FALSE,aftershock cinnamon schnapps
Aftershock Cool Citrus Mint Schnapps,40,80,FALSE,aftershock cool citrus mint schnapps
Aguardiente,30,60,FALSE,aguardiente
Amadeus,5,10,FALSE,amadeus
Amaretto,28,56,FALSE,amaretto
Amaretto almond liqueur,28,56,FALSE,amaretto almond liqueur
Amaretto Di Saronno,28,56,FALSE,amaretto di saronno
Amaro,17,34,FALSE,amaro
Amarula,17,34,FALSE,amarula
American Schnapps,40,80,FALSE,american schnapps
Angostura Bitters,44.7,89.4,FALSE,angostura bitters
Anis del Toro,30,60,FALSE,anis del toro
Anis liqueur,40,80,FALSE,anis
Anisette,30,60,FALSE,anisette
Apple Liqueur,20,40,FALSE,apple liqueur|apple schnapps|sour apple liqueur
Apricot Liqueur,30,60,FALSE,apricot brandy liqueur|apricot schnapps|creme d'apricots
Arak,50,100,FALSE,arak
Artichoke liqueur,16.5,33,FALSE,artichoke liqueur|cynar
Ashanti Gold,17,34,FALSE,ashanti gold
Aurum,40,80,FALSE,aurum
Baileys Irish Cream,17,34,FALSE,baileys irish cream
Banana Liqueur,30,60,FALSE,banana liqueur|banana schnapps|creme de bananes|creme de banana
Bärenjäger,35,70,FALSE,bärenjäger
Becherovka,38,76,FALSE,becherovka
Beirão,22,44,FALSE,beirão
Benedictine,40,80,FALSE,benedictine
Blackberry liqueur,35,70,FALSE,blackberry brandy|blackberry schnapps|creme de mure|jekyll berry liqueur
Blue Curaçao,30,60,FALSE,blue curaçao
Blueberry liqueur,20,40,FALSE,blueberry brandy|blueberry schnapps|creme de myrtille
Bourbon,65,130,TRUE,bourbon
Brandy,40,80,TRUE,brandy|cognac
Butterscotch Liqueur,15,30,FALSE,butterscotch liqueur|butterscotch schnapps
Cabernet,12,24,FALSE,cabernet
Calisay,20,40,FALSE,calisay
Campari,24,48,FALSE,campari
Canton,28,56,FALSE,canton
Captain Morgan Parrot Bay™ Coconut,90,180,FALSE,parrot bay
Caramel liqueur,20,40,FALSE,caramel liqueur
Caraway liqueur,40,80,FALSE,caraway liqueur
Chambord,17,34,FALSE,chambord
Champagne,17,34,FALSE,champagne
Chartreuse,55,110,FALSE,chartreuse
Cherry Heering,22,44,FALSE,cherry heering
Cherry liqueur,25,50,FALSE,black cherry liqueur|cherry brandy|cherry schnapps|creme de cerise|creme de griotte|maraschino liqueur|wild cherry liqueur
Chocolate liqueur,26,52,FALSE,chocolate liqueur|chocolate mint liqueur|creme de cacao|chocolate almond liqueur
Cinnamon liqueur,40,80,FALSE,cinnamon liqueur
Citrus Schnapps,15,30,FALSE,citrus schnapps
Cloudberry Liqueur,25,50,FALSE,cloudberry liqueur
Cloudberry liqueur,21,42,FALSE,cloudberry liqueur
Coconut liqueur,20,40,FALSE,coconut liqueur|batida de coco|creme de coconut
Coconut Rum,21,42,FALSE,coconut rum
Coffee liqueur,35,70,FALSE,coffee liqueur|coffee brandy|coffee flavored liqueur
Cointreau,40,80,FALSE,cointreau
Cranberry liqueur,21,42,FALSE,cranberry liqueur
Cream liqueur,17,34,FALSE,cream liqueur|irish cream
Creme de almond,28,56,FALSE,creme de almond|créme de almond
Crème de Banane,30,60,FALSE,crème de banane
Crème de Cacao,25,50,FALSE,crème de cacao|créme de cacao|creme de cacao
Crème de Cassis,20,40,FALSE,crème de cassis|créme de cassis
Crème de Cerise,20,40,FALSE,crème de cerise|créme de cerise
Creme de fraise,20,40,FALSE,creme de fraise|créme de fraise
Crème de Menthe,25,50,FALSE,crème de menthe|créme de menthe
Crème de Myrtille,20,40,FALSE,crème de myrtille|créme de myrtille
Crème de Noyaux,30,60,FALSE,crème de noyaux|créme de noyaux
Crème de Rose,18,36,FALSE,crème de rose|créme de rose
Crème de Violette,25,50,FALSE,crème de violette|créme de violette
Crème de Y'vette,28,56,FALSE,crème de y'vette|créme de y'vette
Curaçao,30,60,FALSE,curaçao|curacao
Cynar,17,34,FALSE,cynar
Damiana,50,100,FALSE,damiana
Destinée,17,34,FALSE,destinée
Drambuie,40,80,FALSE,drambuie
Drumgray Highland Cream Liqueur,17,34,FALSE,drumgray highland cream liqueur
